Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,Wind Speed
2023-03-08 00:00:00,2023-03-07T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,131,170.6,29.3,53.3,58.8,47.0,67.3,91,0.0,1016.0,86,21.2,2.0
2023-03-08 01:00:00,2023-03-07T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,126,158.7,25.0,54.0,56.3,45.0,65.0,100,0.0,1016.0,89,21.1,2.0
2023-03-08 02:00:00,2023-03-07T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,118,150.2,21.7,55.0,52.5,42.0,65.7,100,0.0,1016.0,90,20.9,1.7
2023-03-08 03:00:00,2023-03-07T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,126,141.6,18.3,56.0,56.3,45.0,66.3,100,0.0,1016.0,91,20.7,1.3
2023-03-08 04:00:00,2023-03-07T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,118,133.1,15.0,57.0,52.5,42.0,67.0,100,0.0,1015.0,92,20.5,1.0
2023-03-08 05:00:00,2023-03-07T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,110,146.7,19.3,51.7,48.8,39.0,69.3,100,0.0,1016.0,91,20.5,1.7
2023-03-08 06:00:00,2023-03-07T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,100,160.3,23.7,46.3,43.8,35.0,71.7,100,0.0,1017.0,90,20.5,2.3
2023-03-08 07:00:00,2023-03-08T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,112,173.9,28.0,41.0,50.0,40.0,74.0,100,0.0,1018.0,89,20.5,3.0
2023-03-08 08:00:00,2023-03-08T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121,157.4,23.3,57.3,53.8,43.0,67.7,100,0.0,1018.0,88,20.8,3.0
2023-03-08 09:00:00,2023-03-08T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,131,140.8,18.7,73.7,58.8,47.0,61.3,100,0.0,1019.0,86,21.2,3.0
2023-03-08 10:00:00,2023-03-08T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134,124.3,14.0,90.0,60.0,48.0,55.0,100,0.0,1019.0,85,21.5,3.0
2023-03-08 11:00:00,2023-03-08T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,151,122.2,14.0,95.0,70.0,56.0,53.7,100,0.0,1019.0,82,22.0,2.7
2023-03-08 12:00:00,2023-03-08T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,120.0,14.0,100.0,63.8,51.0,52.3,100,0.0,1018.0,79,22.5,2.3
2023-03-08 13:00:00,2023-03-08T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,163,117.9,14.0,105.0,81.3,65.0,51.0,100,0.2,1017.0,76,23.0,2.0
2023-03-08 14:00:00,2023-03-08T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,122.9,16.0,104.7,77.5,62.0,56.3,100,0.5,1016.0,75,23.2,2.3
2023-03-08 15:00:00,2023-03-08T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,128.0,18.0,104.3,68.8,55.0,61.7,100,1.0,1016.0,73,23.4,2.7
2023-03-08 16:00:00,2023-03-08T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,150,133.1,20.0,104.0,67.5,54.0,67.0,100,0.8,1015.0,72,23.6,3.0
2023-03-08 17:00:00,2023-03-08T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,137,165.7,36.0,78.3,61.3,49.0,73.7,100,0.5,1016.0,73,23.4,2.0
2023-03-08 18:00:00,2023-03-08T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134,198.4,52.0,52.7,60.0,48.0,80.3,100,0.2,1016.0,75,23.2,1.0
2023-03-08 19:00:00,2023-03-08T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,110,231.1,68.0,27.0,48.8,39.0,87.0,100,0.0,1017.0,76,23.0,2.0
2023-03-08 20:00:00,2023-03-08T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,137,242.6,68.0,21.3,61.3,49.0,89.7,100,0.0,1018.0,79,22.7,0.7
2023-03-08 21:00:00,2023-03-08T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,184,254.1,68.0,15.7,101.3,81.0,92.3,100,0.0,1018.0,82,22.3,1.3
2023-03-08 22:00:00,2023-03-08T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,167,265.5,68.0,10.0,85.0,68.0,95.0,100,0.0,1019.0,85,22.0,2.0
2023-03-08 23:00:00,2023-03-08T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,181,287.3,67.3,6.7,98.8,79.0,99.3,100,0.0,1019.0,88,21.7,1.3
2023-03-09 00:00:00,2023-03-08T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,161,309.1,66.7,3.3,80.0,64.0,103.7,100,0.0,1019.0,91,21.3,0.7
2023-03-09 01:00:00,2023-03-08T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,167,330.9,66.0,0.0,85.0,68.0,108.0,100,0.0,1018.0,94,21.0,1.2
2023-03-09 02:00:00,2023-03-08T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,169,361.6,65.0,0.0,87.5,70.0,117.7,91,0.2,1018.0,93,20.8,0.8
2023-03-09 03:00:00,2023-03-08T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,200,392.4,64.0,0.0,116.3,93.0,127.3,83,0.8,1017.0,93,20.7,0.4
2023-03-09 04:00:00,2023-03-08T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,195,423.1,63.0,0.0,111.3,89.0,137.0,75,1.0,1017.0,93,20.5,0.8
2023-03-09 05:00:00,2023-03-08T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,196,467.7,64.3,1.3,112.5,90.0,137.7,83,0.8,1017.0,93,20.3,1.0
2023-03-09 06:00:00,2023-03-08T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,216,512.2,65.7,2.7,131.3,105.0,138.3,91,0.5,1018.0,94,20.2,2.0
2023-03-09 07:00:00,2023-03-09T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,223,556.8,67.0,4.0,137.5,110.0,139.0,100,0.0,1019.0,95,20.0,3.0
2023-03-09 08:00:00,2023-03-09T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,235,434.4,51.0,30.0,148.8,119.0,126.0,93,0.0,1019.0,87,21.4,2.0
2023-03-09 09:00:00,2023-03-09T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,221,312.0,35.0,56.0,136.3,109.0,113.0,87,0.0,1019.0,80,22.7,1.0
2023-03-09 10:00:00,2023-03-09T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,191,189.7,19.0,82.0,107.5,86.0,100.0,81,0.5,1019.0,74,24.1,2.0
2023-03-09 11:00:00,2023-03-09T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,176,178.2,15.3,88.0,93.8,75.0,80.3,75,0.5,1018.0,67,25.2,0.7
2023-03-09 12:00:00,2023-03-09T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,166.7,11.7,94.0,83.8,67.0,60.7,68,0.5,1017.0,60,26.3,1.3
2023-03-09 13:00:00,2023-03-09T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,165,155.2,8.0,100.0,83.8,67.0,41.0,62,0.5,1016.0,55,27.4,2.0
2023-03-09 14:00:00,2023-03-09T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,148,158.4,8.7,107.3,66.3,53.0,41.0,54,0.0,1015.0,53,27.9,2.0
2023-03-09 15:00:00,2023-03-09T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,148,161.5,9.3,114.7,66.3,53.0,41.0,45,0.0,1014.0,51,28.5,2.0
2023-03-09 16:00:00,2023-03-09T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,164.6,10.0,122.0,72.5,58.0,41.0,37,0.0,1013.0,49,29.0,2.0
2023-03-09 17:00:00,2023-03-09T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,277.4,44.3,92.0,72.5,58.0,54.7,40,0.0,1014.0,54,27.7,2.0
2023-03-09 18:00:00,2023-03-09T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,171,390.2,78.7,62.0,88.8,71.0,68.3,44,0.0,1014.0,61,26.5,2.0
2023-03-09 19:00:00,2023-03-09T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,199,503.1,113.0,32.0,115.0,92.0,82.0,47,0.0,1015.0,68,25.2,2.0
2023-03-09 20:00:00,2023-03-09T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,213,440.2,103.3,31.0,128.8,103.0,86.0,51,0.0,1015.0,73,24.3,2.3
2023-03-09 21:00:00,2023-03-09T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,221,377.4,93.7,30.0,136.3,109.0,90.0,54,0.0,1016.0,78,23.4,2.7
2023-03-09 22:00:00,2023-03-09T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,199,314.6,84.0,29.0,115.0,92.0,94.0,58,0.0,1016.0,84,22.5,3.0
2023-03-09 23:00:00,2023-03-09T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,201,271.2,70.7,30.3,117.5,94.0,91.3,0,0.0,1016.0,86,22.2,2.7
2023-03-10 00:00:00,2023-03-09T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,220,227.8,57.3,31.7,135.0,108.0,88.7,0,0.0,1015.0,89,21.8,2.3
2023-03-10 01:00:00,2023-03-09T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,242,184.4,44.0,33.0,156.3,125.0,86.0,0,0.0,1014.0,91,21.5,2.0
2023-03-10 02:00:00,2023-03-09T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,239,179.2,39.0,32.0,152.5,122.0,84.3,1,0.0,1014.0,93,21.3,2.0
2023-03-10 03:00:00,2023-03-09T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,233,173.9,34.0,31.0,147.5,118.0,82.7,1,0.0,1014.0,95,21.2,2.0
2023-03-10 04:00:00,2023-03-09T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,235,168.7,29.0,30.0,148.8,119.0,81.0,79,0.5,1014.0,96,21.0,2.0
2023-03-10 05:00:00,2023-03-09T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,246,194.3,33.7,25.0,160.0,128.0,83.7,82,0.5,1014.0,94,20.8,2.0
2023-03-10 06:00:00,2023-03-09T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,220.0,38.3,20.0,190.0,152.0,86.3,86,0.5,1014.0,93,20.6,2.0
2023-03-10 07:00:00,2023-03-10T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,252,245.7,43.0,15.0,165.0,132.0,89.0,89,0.2,1015.0,91,20.4,2.0
2023-03-10 08:00:00,2023-03-10T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,204,224.9,36.3,38.3,120.0,96.0,98.7,93,0.0,1015.0,89,20.9,1.7
2023-03-10 09:00:00,2023-03-10T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,237,204.1,29.7,61.7,151.3,121.0,108.3,96,0.0,1016.0,88,21.3,1.3
2023-03-10 10:00:00,2023-03-10T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,227,183.3,23.0,85.0,141.3,113.0,118.0,100,0.0,1016.0,86,21.8,1.0
2023-03-10 11:00:00,2023-03-10T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,215,172.6,17.7,107.0,130.0,104.0,98.0,70,0.0,1015.0,72,23.7,1.7
2023-03-10 12:00:00,2023-03-10T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,185,161.9,12.3,129.0,102.5,82.0,78.0,41,0.0,1014.0,60,25.5,2.3
2023-03-10 13:00:00,2023-03-10T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,156,151.2,7.0,151.0,75.0,60.0,58.0,12,0.0,1013.0,51,27.4,3.0
2023-03-10 14:00:00,2023-03-10T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,157,146.7,8.0,147.0,76.3,61.0,53.0,16,0.0,1012.0,50,27.3,3.0
2023-03-10 15:00:00,2023-03-10T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,145,142.2,9.0,143.0,65.0,52.0,48.0,20,0.0,1011.0,49,27.1,3.0
2023-03-10 16:00:00,2023-03-10T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,126,137.7,10.0,139.0,56.3,45.0,43.0,25,0.8,1011.0,49,27.0,3.0
2023-03-10 17:00:00,2023-03-10T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,115,150.0,21.7,111.0,51.3,41.0,55.3,33,1.0,1011.0,55,25.9,2.7
2023-03-10 18:00:00,2023-03-10T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,110,162.2,33.3,83.0,48.8,39.0,67.7,41,0.5,1012.0,61,24.9,2.3
2023-03-10 19:00:00,2023-03-10T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,148,174.5,45.0,55.0,66.3,53.0,80.0,50,0.0,1012.0,68,23.8,2.0
2023-03-10 20:00:00,2023-03-10T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,155,182.7,46.0,45.3,73.8,59.0,81.0,50,0.0,1013.0,73,23.1,2.0
2023-03-10 21:00:00,2023-03-10T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,159,190.8,47.0,35.7,77.5,62.0,82.0,50,0.0,1013.0,79,22.5,2.0
2023-03-10 22:00:00,2023-03-10T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,181,199.0,48.0,26.0,98.8,79.0,83.0,50,0.0,1013.0,85,21.8,2.0
2023-03-10 23:00:00,2023-03-10T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,176,188.7,43.7,25.7,93.8,75.0,80.0,50,0.0,1013.0,87,21.4,2.0
2023-03-11 00:00:00,2023-03-10T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,179,178.4,39.3,25.3,96.3,77.0,77.0,50,0.0,1013.0,89,21.1,2.0
2023-03-11 01:00:00,2023-03-10T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,181,168.1,35.0,25.0,98.8,79.0,74.0,50,0.0,1013.0,91,20.7,2.0
2023-03-11 02:00:00,2023-03-10T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,180,158.9,29.3,28.7,97.5,78.0,70.0,66,0.0,1013.0,90,20.9,1.7
2023-03-11 03:00:00,2023-03-10T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,180,149.8,23.7,32.3,97.5,78.0,66.0,83,0.0,1013.0,90,21.0,1.3
2023-03-11 04:00:00,2023-03-10T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,153,140.6,18.0,36.0,68.8,55.0,62.0,100,0.0,1013.0,90,21.2,1.0
2023-03-11 05:00:00,2023-03-10T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,168,134.4,17.3,43.0,86.3,69.0,55.7,87,0.0,1013.0,90,21.3,1.0
2023-03-11 06:00:00,2023-03-10T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,131,128.2,16.7,50.0,58.8,47.0,49.3,75,0.0,1014.0,89,21.3,1.0
2023-03-11 07:00:00,2023-03-11T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,142,122.0,16.0,57.0,63.8,51.0,43.0,62,0.0,1015.0,89,21.4,1.0
